symbol,name,mktcap,nmc,turnoverratio
SH603327,福蓉科技,1047412,267653.3378,3.5441
SH603328,依顿电子,1000439.496222,1000439.496222,0.82782
SH603329,上海雅仕,222948,109244.52,18.82852
SH603330,上海天洋,285558,285558,6.28101
SH603331,百达精工,208860.8212,51982.9322,2.43483
SH603332,苏州龙杰,267610.5,66903.75,1.91357
SH603333,尚纬股份,345736.825,341745.94853,0.75444
SH603335,迪生力,188811.7686,89688.1986,2.10136
SH603336,宏辉果蔬,411408.686325,411408.686325,2.37238
SH603337,杰克股份,854750.84706,854750.84706,0.22194
SH603338,浙江鼎力,3699400.05102,3699400.05102,0.44717
SH603339,四方科技,278706.139375,278706.139375,0.73743
SH603345,安井食品,2867012.375721,2790478.385721,0.69319
SH603348,文灿股份,423345.07588,149145.07588,2.98833
SH603351,威尔药业,306152.153076,139796.976429,2.04139
SH603353,和顺石油,680371.38,170271.38,29.3231
SH603355,莱克电气,925508,925508,0.48985
SH603356,华菱精工,203610.18,137796.48,5.97364
SH603357,设计总院,456815.41149,223253.41149,0.76367
SH603358,华达科技,585491.2,585491.2,1.20957
SH603359,东珠生态,542962.56,260627.27712,0.96904
SH603360,百傲化学,512500.2904,512500.2904,1.71703
SH603363,傲农生物,1146578.62473,405704.44152,6.38077
SH603365,水星家纺,377338.05,125346.36,0.92703
SH603366,XD日出东,460000,460000,0.97331
SH603367,辰欣药业,732618.448,464890.5568,2.00268
SH603368,柳药股份,872999.98617,862686.59319,1.60093
SH603369,今世缘,4678030.5,4678030.5,0.72016
SH603377,东方时尚,976080,976080,0.4567
SH603378,亚士创能,844847.6,299166.26,1.56315
SH603379,三美股份,1330233.821623,420679.446157,0.68842
SH603380,易德龙,271520,81277.4756,4.14031
SH603383,顶点软件,686329.831544,682389.174908,3.40691
SH603385,惠达卫浴,543012.77268,543012.77268,1.69421
SH603386,广东骏亚,317952.57904,79628.375,1.86003
SH603387,基蛋生物,952991.05986,475484.71662,7.37786
SH603388,元成股份,205214.1525,202736.00466,0.45383
SH603389,*ST亚振,102210.528,102210.528,0.28339
SH603390,通达电气,469150.436656,117287.6812,2.98472
SH603392,万泰生物,6919822.4,695812.4,14.03901
SH603393,新天然气,1168473.6,1168473.6,1.66697
SH603396,金辰股份,274814.709732,114823.395516,6.17115
SH603398,邦宝益智,263780.692,263780.692,1.45166
SH603399,吉翔股份,416045.746485,388658.746485,1.39314
SH603416,信捷电气,522883.2,339356.4048,2.09131
SH603421,鼎信通讯,683899.78077,676967.57397,0.32057
SH603429,集友股份,1205357.49369,1098493.76,1.81242
SH603439,贵州三力,1438254.744696,143852.94,42.03091
SH603444,吉比特,3261932.01528,3261932.01528,1.27145
SH603456,九洲药业,2269345.018075,2269345.018075,1.01356
SH603458,勘设股份,377729.754064,252556.471264,2.01186
SH603466,风语筑,520483.784,160842.2288,8.2005
SH603477,振静股份,309600,146415,5.53346
SH603486,科沃斯,1754396.3808,558348.246624,3.55306
SH603488,展鹏科技,184870.9968,184288.17904,3.10588
SH603489,八方股份,1425360,356340,2.75267
SH603496,XD恒为科,428701.442265,424184.381766,1.77804
SH603499,翔港科技,248214.155,62172.719,13.3696
SH603500,祥和实业,262483.2,74995.2,6.67187
SH603501,韦尔股份,17081545.10844,3093176.0266,6.2128
SH603505,金石资源,513120,508091.424,0.81351
SH603506,南都物业,447984.1299,111996.03164,10.74555
SH603507,振江股份,316208.2866,198450.96114,0.69423
SH603508,思维列控,941951.337205,777760.61255,0.48404
SH603515,欧普照明,2132099.7891,2125599.48324,0.39938
SH603516,淳中科技,508007.74818,336422.04638,2.71141
SH603517,绝味食品,4315191.62755,4315191.62755,0.51709
SH603518,锦泓集团,164309.582472,162744.176805,1.01695
SH603519,立霸股份,296955.540708,296955.540708,0.57242
SH603520,司太立,1915362.379912,1915362.379912,1.93246
SH603527,众源新材,231388.976,142860.042897,1.2886
SH603528,多伦科技,644956.1055,642202.5015,2.00328
SH603530,神马电力,976908.64458,97788.64458,9.65461
SH603533,掌阅科技,1535028,624544.07598,6.01103
SH603535,嘉诚国际,262899.2,115507.84,1.7476
SH603536,惠发食品,248304,248304,2.92751
SH603538,美诺华,791967.462,772587.5872,6.68975
SH603551,奥普家居,658416.46,65856.46,3.65734
SH603555,*ST贵人,113776.987883,113776.987883,0.51136
SH603556,海兴电力,727755.78148,725207.11536,0.35989
SH603557,起步股份,368484.214266,170087.209866,1.55536
SH603558,健盛集团,352237.471254,325065.529044,0.85491
SH603559,中通国脉,320734.957266,320734.957266,23.5637
SH603566,普莱柯,919800.056,919800.056,0.71302
SH603567,珍宝岛,1053807.56,1053807.56,0.27012
SH603568,伟明环保,2832089.19499,2831400.93799,0.38795
SH603569,长久物流,527779.32789,527779.32789,0.22796
SH603577,汇金通,300087.232635,255074.148,2.04418
SH603578,三星新材,189285.100956,187320.010956,0.7286
SH603579,荣泰健康,374080,374080,0.75777
SH603580,艾艾精工,158114.572,158114.572,1.19426
SH603583,捷昌驱动,1185730.749,702913.716,3.0244
SH603585,苏利股份,315720,315720,0.4654
SH603586,金麒麟,331075.3875,326249.1375,0.30855
SH603587,地素时尚,811303.2,192204,1.45863
SH603588,高能环境,908955.14692,902114.84392,1.67163
SH603589,口子窖,2835600,2835600,1.1461
SH603590,康辰药业,595200,310127.6208,2.15768
SH603595,东尼电子,719261.470854,239418.965856,3.97168
SH603596,伯特利,1467959.673,617254.0455,2.47704
SH603598,引力传媒,427584.34,423223.382,9.90051
SH603599,广信股份,771832.043235,771832.043235,0.68904
SH603600,永艺股份,350042.9452,349193.38324,8.48347
SH603601,再升科技,866477.916218,866477.916218,2.31784
SH603602,纵横通信,337151.36,199793.199916,3.87478
SH603603,博天环境,304146.792768,183282.679216,5.86799
SH603605,珀莱雅,3472101.17956,1077519.8863,2.61186
SH603606,东方电缆,902010.134459,880965.396108,1.29716
SH603607,京华激光,263847.8304,100799.721196,9.9088
SH603608,天创时尚,581879.118051,574648.20303,12.78527
SH603609,禾丰牧业,1359116.286704,1332948.67277,0.85294
SH603610,麒盛科技,650799.061809,162699.927792,4.81235
SH603611,诺力股份,562360.365108,556439.451508,0.80186
SH603612,索通发展,419286.06093,217676.34402,4.33879
SH603613,国联股份,1873367.55625,468425.0375,3.64753
SH603615,茶花股份,206493.04,204096.08,0.65278
SH603616,韩建河山,200951.6,200951.6,0.82128
SH603617,君禾股份,207686.20404,64272.36018,4.48626
SH603618,杭电股份,393196.151367,393196.151367,0.62828
SH603619,中曼石油,506800.1267,181588.484938,2.23673
SH603626,科森科技,555709.04181,544720.40181,2.00646
SH603628,清源股份,201243,201243,0.42912
SH603629,利通电子,231500,69450,3.8104
SH603630,拉芳家化,322395.84,322395.84,1.50892
SH603633,徕木股份,267053.0395,267053.0395,2.98547
SH603636,XD南威软,695954.834884,695954.834884,1.21585
SH603637,镇海股份,237783.555446,236623.958046,0.32911
SH603638,艾迪精密,2574881.3488,2403657.344,0.43022
SH603639,海利尔,474946.808,471764.042,0.57642
SH603648,畅联股份,335486.697,248600.35746,0.96316
SH603650,彤程新材,1296204.35,290695.51,5.51191
SH603655,朗博科技,307612,98668,31.52787
SH603656,泰禾光电,210816.3456,210816.3456,0.97765
SH603657,春光科技,228345.6,68087.425,2.86605
SH603658,安图生物,7383547.909153,7383547.909153,0.50196
SH603659,璞泰来,4341742.958296,1930656.157888,2.63959
SH603660,苏州科达,480083.622725,474893.052227,1.84106
SH603661,恒林股份,505700,145388.75,14.2215
SH603662,柯力传感,530735.01803,132683.75673,3.25615
SH603663,三祥新材,272448.103536,271476.425136,0.81704
SH603665,康隆达,231620,231620,0.74182
SH603666,亿嘉和,1025926.6612,292625.1412,2.47544
SH603667,五洲新春,248768.305233,223915.12,3.38103
SH603668,天马科技,356986.530096,354755.076096,2.83909
SH603669,灵康药业,608564.32,608564.32,3.12729
SH603676,卫信康,456840,71993.3184,5.20503
SH603677,奇精机械,207306.544679,207306.544679,1.02418
SH603678,火炬电子,1201375.4313,1201375.4313,2.01563
SH603679,华体科技,410001.1305,164185.471203,2.18494
SH603680,今创集团,869959.662,271053.0856,0.484
SH603681,XD永冠新,307361.50938,113757.50448,2.56811
SH603682,锦和商业,575032.5,115006.5,28.1765
SH603683,晶华新材,155677.43,61988.302,2.03139
SH603685,晨丰科技,291525,99118.5,15.14155
SH603686,龙马环卫,960164.75247,960164.75247,1.79378
SH603687,大胜达,587898.777492,71550,20.00827
SH603688,石英股份,718683.72611,718683.72611,1.38434
SH603689,皖天然气,340704,340704,0.80126
SH603690,至纯科技,849763.375168,788289.006784,2.48865
SH603693,江苏新能,814524,254374,8.34964
SH603696,安记食品,306465.6,306465.6,3.00562
SH603697,有友食品,580462.77,171354.969332,11.2333
SH603698,航天工程,584229.1,584229.1,0.27664
SH603699,纽威股份,1192500,1192500,0.26162
SH603700,宁水集团,599157.416,304597.111984,1.99915
SH603701,德宏股份,243516.051324,242282.482227,2.29282
